No.,Time,Source,Destination,Protocol,Length,Info
1242896,2895.552933,192.168.0.5,239.255.255.250,SSDP,371,NOTIFY * HTTP/1.1 
1242897,2895.552933,192.168.0.5,239.255.255.250,SSDP,359,NOTIFY * HTTP/1.1 
1242898,2895.752466,192.168.0.5,239.255.255.250,SSDP,305,NOTIFY * HTTP/1.1 
1242899,2895.752466,192.168.0.5,239.255.255.250,SSDP,314,NOTIFY * HTTP/1.1 
1242900,2895.752466,192.168.0.5,239.255.255.250,SSDP,361,NOTIFY * HTTP/1.1 
1242901,2895.754391,192.168.0.5,239.255.255.250,SSDP,369,NOTIFY * HTTP/1.1 
1242902,2895.754391,192.168.0.5,239.255.255.250,SSDP,371,NOTIFY * HTTP/1.1 
1242903,2895.7543920000007,192.168.0.5,239.255.255.250,SSDP,359,NOTIFY * HTTP/1.1 
1242966,2902.364707,192.168.0.5,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
1250852,3112.821647,192.168.0.5,192.168.0.2,UDP,301,2870  >  56416 Len=259
1250854,3112.823734,192.168.0.5,192.168.0.2,TCP,66,"2870  >  4523 [SYN, ACK] Seq=0 Ack=1 Win=5840 Len=0 MSS=1460 SACK_PERM=1 WS=32"
1250857,3112.825614,192.168.0.5,192.168.0.2,TCP,54,2870  >  4523 [ACK] Seq=1 Ack=69 Win=5856 Len=0
1250858,3112.829448,192.168.0.5,192.168.0.2,TCP,290,[TCP segment of a reassembled PDU]
1250859,3112.829448,192.168.0.5,192.168.0.2,TCP,1514,[TCP segment of a reassembled PDU]
1250860,3112.829449,192.168.0.5,192.168.0.2,HTTP/XML,587,HTTP/1.1 200 OK 
1250863,3112.831687000001,192.168.0.5,192.168.0.2,TCP,54,2870  >  4523 [ACK] Seq=2231 Ack=70 Win=5856 Len=0
1252564,3153.13425,192.168.0.5,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
1256098,3279.733008,192.168.0.5,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
1263314,3416.597226,192.168.0.5,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
1270380,3547.757614,192.168.0.5,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
1281704,3680.25361,192.168.0.5,224.0.0.22,IGMPv3,54,Membership Report / Join group 239.255.255.250 for any sources
1287876,3765.246089,192.168.0.5,239.255.255.250,SSDP,305,NOTIFY * HTTP/1.1 
1287877,3765.24609,192.168.0.5,239.255.255.250,SSDP,314,NOTIFY * HTTP/1.1 
1287878,3765.24609,192.168.0.5,239.255.255.250,SSDP,361,NOTIFY * HTTP/1.1 
1287879,3765.246091,192.168.0.5,239.255.255.250,SSDP,369,NOTIFY * HTTP/1.1 
1287880,3765.248402,192.168.0.5,239.255.255.250,SSDP,371,NOTIFY * HTTP/1.1 
1287881,3765.248403,192.168.0.5,239.255.255.250,SSDP,359,NOTIFY * HTTP/1.1 
1287908,3765.44987,192.168.0.5,239.255.255.250,SSDP,305,NOTIFY * HTTP/1.1 
1287909,3765.449871,192.168.0.5,239.255.255.250,SSDP,314,NOTIFY * HTTP/1.1 
1287910,3765.449871,192.168.0.5,239.255.255.250,SSDP,361,NOTIFY * HTTP/1.1 
1287911,3765.449871,192.168.0.5,239.255.255.250,SSDP,369,NOTIFY * HTTP/1.1 
1287912,3765.449871,192.168.0.5,239.255.255.250,SSDP,371,NOTIFY * HTTP/1.1 
1287913,3765.450827,192.168.0.5,239.255.255.250,SSDP,359,NOTIFY * HTTP/1.1 
1287915,3765.653228,192.168.0.5,239.255.255.250,SSDP,305,NOTIFY * HTTP/1.1 
1287916,3765.653229,192.168.0.5,239.255.255.250,SSDP,314,NOTIFY * HTTP/1.1 
1287917,3765.653229,192.168.0.5,239.255.255.250,SSDP,361,NOTIFY * HTTP/1.1 
1287918,3765.653229,192.168.0.5,239.255.255.250,SSDP,369,NOTIFY * HTTP/1.1 
1287919,3765.653229,192.168.0.5,239.255.255.250,SSDP,371,NOTIFY * HTTP/1.1 
1287920,3765.65323,192.168.0.5,239.255.255.250,SSDP,359,NOTIFY * HTTP/1.1 
1287921,3765.855416,192.168.0.5,239.255.255.250,SSDP,305,NOTIFY * HTTP/1.1 
1287922,3765.855417,192.168.0.5,239.255.255.250,SSDP,314,NOTIFY * HTTP/1.1 
