No.,Time,Source,Destination,Protocol,Length,Info
1356307,4724.384218,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1356308,4724.384247,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1356309,4724.384275,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1356310,4724.384305,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1356311,4724.384333,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1356312,4724.384370000001,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1356313,4724.384397,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1356314,4724.3844229999995,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1356315,4724.384440999999,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1356316,4724.38447,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1356318,4724.506657,192.168.0.2,104.6.66.102,UDP,1468,12236  >  37284 Len=1426
1356320,4724.510599,192.168.0.2,104.6.66.102,UDP,1468,12236  >  37284 Len=1426
1356322,4724.510676,192.168.0.2,104.6.66.102,UDP,1468,12236  >  37284 Len=1426
1356324,4724.51637,192.168.0.2,104.6.66.102,UDP,1468,12236  >  37284 Len=1426
1356326,4724.516433,192.168.0.2,104.6.66.102,UDP,1468,12236  >  37284 Len=1426
1356328,4724.51757,192.168.0.2,104.6.66.102,UDP,1468,12236  >  37284 Len=1426
1356329,4724.532222,192.168.0.2,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
1356332,4724.612924,192.168.0.2,224.0.0.252,LLMNR,75,Standard query 0x8161 ANY DESKTOP-BNL0PME
1356338,4724.623039,192.168.0.2,104.6.66.102,UDP,1468,12236  >  37284 Len=1426
1356339,4724.623106,192.168.0.2,104.6.66.102,UDP,1468,12236  >  37284 Len=1426
1356340,4724.62319,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1356341,4724.6232310000005,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1356345,4724.715614,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1356347,4724.7177679999995,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x39) [Block ID: 17851 Packet ID: 13851265] Unknown Payload Type (0x2fdf) 
1356348,4724.717821,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x39) [Block ID: 17851 Packet ID: 13851331] Unknown Payload Type (0x2fdf) 
1356349,4724.717845,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x39) [Block ID: 17851 Packet ID: 13851357] Unknown Payload Type (0x2fdf) 
1356353,4724.7221979999995,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
1356354,4724.722279,192.168.0.2,113.193.151.171,UDP,1312,62257  >  50670 Len=1270
1356355,4724.722304,192.168.0.2,104.6.66.102,UDP,1313,62257  >  51466 Len=1271
