No.,Time,Source,Destination,Protocol,Length,Info
1247634,3077.787946,192.168.0.2,31.40.63.177,UDP,145,12236  >  49440 Len=103
1247636,3077.9657420000003,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x57) [Block ID: 3230611792312976208 Packet ID: -905149767] [BLOCK_DROPPED] [PACKET_RESEND] Unknown Payload Type (0x23b8) 
1247638,3077.96581,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x57) [Block ID: 3230610198880109392 Packet ID: -905084231] [BLOCK_DROPPED] [PACKET_RESEND] Unknown Payload Type (0x5b2) 
1247639,3077.965836,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x57) [Block ID: 3230610198880109392 Packet ID: -905018695] [BLOCK_DROPPED] [PACKET_RESEND] Unknown Payload Type (0xa53) 
1247641,3077.987903,192.168.0.2,224.0.0.252,LLMNR,75,Standard query 0x30ff ANY DESKTOP-BNL0PME
1247643,3077.993648,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x57) [Block ID: 3230631020881560400 Packet ID: -904953159] [BLOCK_DROPPED] [PACKET_RESEND] Unknown Payload Type (0x3d78) 
1247644,3078.033178,192.168.0.2,224.0.0.22,IGMPv3,54,Membership Report / Join group 224.0.0.252 for any sources
1247647,3078.226346,192.168.0.2,35.185.84.145,TCP,54,"4504  >  443 [FIN, ACK] Seq=1581 Ack=7022 Win=16128 Len=0"
1247648,3078.226374,192.168.0.2,35.185.84.145,TCP,54,"4504  >  443 [RST, ACK] Seq=1582 Ack=7022 Win=0 Len=0"
1247653,3078.271432,192.168.0.2,107.167.110.211,TCP,66,4508  >  443 [SYN] Seq=0 Win=17520 Len=0 MSS=1460 WS=256 SACK_PERM=1
1247654,3078.286607,192.168.0.2,113.193.151.171,UDP,1312,62257  >  50670 Len=1270
1247657,3078.440969,192.168.0.2,107.167.110.211,TCP,54,4508  >  443 [ACK] Seq=1 Ack=1 Win=17408 Len=0
1247658,3078.441236,192.168.0.2,107.167.110.211,TLSv1.2,262,Client Hello
1247661,3078.502207,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x57) [Block ID: 3230636479784993616 Packet ID: -904887623] [BLOCK_DROPPED] [PACKET_RESEND] Unknown Payload Type (0x2876) 
1247662,3078.502306,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x57) [Block ID: 3230636479784993616 Packet ID: -904822087] [BLOCK_DROPPED] [PACKET_RESEND] Unknown Payload Type (0xc43) 
1247663,3078.502347,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x57) [Block ID: 3230636479784993616 Packet ID: -904756551] [BLOCK_DROPPED] [PACKET_RESEND] Unknown Payload Type (0x1dd1) 
1247664,3078.502387,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x57) [Block ID: 3230636479784993616 Packet ID: -904691015] [BLOCK_DROPPED] [PACKET_RESEND] Unknown Payload Type (0x3bba) 
1247665,3078.502452,192.168.0.2,113.193.151.171,GVSP,1468,Unknown Format (0x57) [Block ID: 3230637523462046544 Packet ID: -904625479] [BLOCK_DROPPED] [PACKET_RESEND] Unknown Payload Type (0x3db1) 
