Grupo;Silhueta;DuracaodaSessao;Velocidademediadenavegacao
C2;0.749144;300.0;0.0
C6;0.5;12326.0;4.7
C5;0.535184;3307.0;0.0
C2;0.749144;300.0;0.0
C3;0.717381;7817.0;1.9
C2;0.74914;300.0;0.4
C3;0.717189;7817.0;9.8
C7;0.749208;901.0;0.0
C8;0.749183;602.0;2.2
C8;0.749114;601.0;0.0
C8;0.749114;601.0;0.0
C4;0.727743;6614.0;3.1
C2;0.749058;300.0;1.1
C2;0.749144;300.0;0.0
C1;0.730401;4507.0;2.2
C1;0.729985;4810.0;0.2
C2;0.749144;300.0;0.0
C1;0.73007;4809.0;1.1
C2;0.749029;301.0;1.0
C2;0.749144;300.0;0.0
C5;0.500397;2105.0;2.0
C2;0.748864;301.0;1.8
C2;0.749018;301.0;1.1
C3;0.717371;7816.0;3.3
C2;0.747857;301.0;4.7
C4;0.728232;6610.0;66.9
C2;0.749144;300.0;0.0
C1;0.730573;4510.0;24.5
C2;0.749029;301.0;1.0
C2;0.749144;300.0;0.0
C3;0.709824;8116.0;1.3
C2;0.746307;300.0;7.9
C3;0.676224;8717.0;2.5
C2;0.749144;300.0;0.0
C8;0.749069;602.0;2.5
C3;0.716473;7809.0;4.3
C8;0.749278;602.0;1.2
C7;0.74921;902.0;1.1
C4;0.718404;6314.0;45.3
C2;0.747641;301.0;5.2
