Grupo;Silhueta;DuracaodaSessao;Velocidademediadenavegacao
C12;0.651067;6313.0;22.6
C11;0.748765;602.0;0.0
C3;0.656578;8417.0;4.8
C2;0.690842;301.0;71.7
C2;0.747413;300.0;0.0
C6;0.688688;3308.0;0.6
C1;0.633979;7516.0;4.1
C2;0.747413;300.0;0.0
C4;0.715265;1803.0;5.1
C2;0.746763;300.0;2.4
C2;0.747099;301.0;0.0
C15;0.629098;7217.0;5.8
C2;0.747413;300.0;0.0
C12;0.517857;5711.0;39.4
C13;0.624825;10521.0;32.8
C5;0.660364;1203.0;123.1
C8;0.5;300.0;288.8
C2;0.747413;300.0;0.0
C9;0.714207;4511.0;3.4
C2;0.747413;300.0;0.0
C5;0.641808;902.0;0.0
C11;0.749001;601.0;0.4
C11;0.74785;601.0;4.1
C5;0.641838;902.0;3.7
C2;0.746029;301.0;4.1
C6;0.693793;3606.0;3.1
C2;0.738931;300.0;18.0
C11;0.748979;601.0;0.0
C2;0.747026;301.0;1.2
C11;0.748851;600.0;0.0
C2;0.747413;300.0;0.0
C2;0.747099;301.0;0.0
C2;0.747413;300.0;0.0
C1;0.723989;7817.0;3.0
C2;0.747413;300.0;0.0
C4;0.570002;1502.0;21.8
C2;0.746908;300.0;2.0
C13;0.544352;9620.0;4.2
C2;0.747413;300.0;0.0
C10;0.5;12058.0;8.7
C2;0.747413;300.0;0.0
C15;0.628461;7218.0;3.9
C2;0.747099;301.0;0.0
C12;0.647955;6319.0;2.2
C2;0.747413;300.0;0.0
C12;0.694609;6012.0;3.7
C2;0.737511;300.0;20.3
C2;0.747413;300.0;0.0
C3;0.690735;8726.0;1.6
C2;0.684115;300.0;76.7
C2;0.747413;300.0;0.0
C7;0.713485;5125.0;2.6
C2;0.747099;301.0;0.0
C4;0.715341;1804.0;2.8
C2;0.74174;301.0;13.0
C14;0.683079;2410.0;1.2
C14;0.707707;2711.0;1.3
C11;0.748851;600.0;0.0
C6;0.507603;3908.0;43.8
C2;0.746317;301.0;3.4
C6;0.6884;3307.0;2.8
C2;0.741044;301.0;14.3
C15;0.691294;6914.0;6.3
C2;0.747413;300.0;0.0
C2;0.746981;301.0;1.4
C7;0.711431;5111.0;2.2
C11;0.748765;602.0;0.0
C15;0.595503;6615.0;3.3
C2;0.747413;300.0;0.0
C9;0.680555;4210.0;1.5
C11;0.748979;601.0;0.0
C15;0.596223;6616.0;3.2
C11;0.748871;601.0;1.2
C2;0.747413;300.0;0.0
C7;0.686872;5411.0;2.5
C2;0.747413;300.0;0.0
C15;0.628921;7217.0;2.3
C2;0.747413;300.0;0.0
C14;0.709059;2705.0;1.8
C5;0.640192;900.0;0.9
C15;0.690936;6921.0;2.1
C6;0.687795;3305.0;0.0
C2;0.747413;300.0;0.0
C2;0.747413;300.0;0.0
C7;0.711967;5113.0;2.9
C2;0.747413;300.0;0.0
C7;0.686875;5411.0;1.7
C2;0.747413;300.0;0.0
C2;0.747319;300.0;0.5
C15;0.593722;6613.0;6.2
C11;0.748851;600.0;0.0
C1;0.72402;7816.0;5.5
C2;0.747413;300.0;0.0
C11;0.745711;602.0;8.5
C4;0.715214;1803.0;0.0
C2;0.747413;300.0;0.0
C6;0.693593;3607.0;1.6
C2;0.747072;300.0;1.5
C2;0.747413;300.0;0.0
C12;0.693202;6002.0;19.4
C2;0.747413;300.0;0.0
C2;0.747413;300.0;0.0
C1;0.715699;7856.0;3.1
C2;0.747154;300.0;1.2
C2;0.747413;300.0;0.0
C2;0.747041;300.0;1.6
C2;0.747413;300.0;0.0
C14;0.698308;2455.0;5.3
C9;0.716464;4501.0;10.5
C2;0.746199;300.0;3.8
C4;0.565515;2100.0;3.5
C9;0.721639;4384.0;1.6
C2;0.747413;300.0;0.0
C5;0.666141;1200.0;1.2
C2;0.747413;300.0;0.0
C2;0.747413;300.0;0.0
C15;0.633908;7203.0;29.1
